"names";"ID";"nbr_MS";"start";"end";"used";"blank (ID)";"color";"concentration";"unit";"acq_T0 (ID)";"delta_T (s)";"grp1";"grp2";"..."
"flw_118_FqP";"217";"30";"7505";"7534";"TRUE";"";"";"";"";"";"";"";"";""
"flw_119_FqB";"218";"46";"7535";"7580";"TRUE";"";"";"";"";"";"";"";"";""
"flw_120_Blc";"219";"30";"7581";"7610";"TRUE";"";"";"";"";"";"";"";"";""
"flw_121_FqM";"220";"30";"7611";"7640";"TRUE";"";"";"";"";"";"";"";"";""
"flw_122_FqP";"221";"30";"7641";"7670";"TRUE";"";"";"";"";"";"";"";"";""
"flw_123_Blc";"222";"30";"7671";"7700";"TRUE";"";"";"";"";"";"";"";"";""
"flw_124_FqB";"223";"46";"7701";"7746";"TRUE";"";"";"";"";"";"";"";"";""
"flw_125_FqM";"224";"30";"7747";"7776";"TRUE";"";"";"";"";"";"";"";"";""
"flw_126_FqB";"225";"46";"7777";"7822";"TRUE";"";"";"";"";"";"";"";"";""
"flw_127_Blc";"226";"30";"7823";"7852";"TRUE";"";"";"";"";"";"";"";"";""
"flw_128_FqP";"227";"30";"7853";"7882";"TRUE";"";"";"";"";"";"";"";"";""
"flw_131_Blc";"228";"30";"7883";"7912";"TRUE";"";"";"";"";"";"";"";"";""
"flw_132_FqB";"229";"46";"7913";"7958";"TRUE";"";"";"";"";"";"";"";"";""
